n,|A|,|A+A|,delta,dup_density
5,17,81,0.21972318339100347,0.47058823529411764
10,55,899,0.2028099173553719,0.41623376623376623
15,127,5086,0.18466736933473868,0.37426181102362205
20,210,14929,0.16147392290249432,0.32615662378695554
25,337,40126,0.1466817529431447,0.2954541464014187
30,465,80069,0.12969591860330673,0.2609811251096036
35,647,158888,0.12043816544794785,0.24204781803957487
40,820,261859,0.11056067816775729,0.22207005139478922
45,1057,442923,0.1035592781913432,0.20786797173582186
50,1275,656824,0.09595601691657055,0.19254533161226872
55,1567,1006258,0.09020056697464333,0.1809238373077374
60,1830,1392089,0.08431455104661233,0.16908315501398202
65,2177,1990197,0.08006776908714293,0.1605211508748486
70,2485,2617684,0.07609900853815044,0.1525390476406306
75,2887,3558102,0.07310130610698388,0.14649824842857512
80,3240,4516839,0.06972650891632373,0.13971853680277008
85,3697,5917207,0.06706982077376118,0.1343737844243348
90,4095,7308044,0.06419386338800258,0.12860052274114775
95,4607,9299262,0.0618608520767724,0.12391186871427538
100,5050,11236549,0.0593942162533085,0.11896289529962698
105,5617,13966017,0.0573466874209942,0.11485095879093073
110,6105,16577604,0.05521470096408671,0.11057508987413998
115,6727,20209222,0.05341231867947093,0.10695739231771728
120,7260,23636459,0.05155501293931046,0.10323354742856189
125,7937,28350627,0.049961252282665895,0.10003589301272844
130,8515,32740369,0.04844124682048777,0.09698854313679035
135,9247,38707170,0.04732167043756612,0.09474123843775387
140,9870,44222709,0.046046846081121445,0.09218566929807896
145,10657,51674380,0.04500634220781632,0.09009806509827331
150,11325,58504349,0.04384574555696875,0.08777204104408813
155,12167,67669940,0.04288152381751158,0.08583818216431022
160,12880,76009039,0.041822755921839434,0.0837166518551808
165,13777,87134100,0.04093008436009853,0.08192680682669146
170,14535,97190529,0.039961823050513635,0.07998694249301261
175,15487,110537110,0.039135231569066384,0.07832997563405618
180,16290,122532569,0.03824737784802089,0.07655144375965384
185,17297,138379220,0.0374812881164586,0.07501605278649376
190,18145,152548909,0.036664943258514035,0.07338095397616412
195,19207,171190680,0.03595398846071052,0.07195629491512567
200,20100,187783299,0.03520135887725551,0.07044896407470631
