n,|A|,|A+A|,delta,dup_density
525,138337,9260104561,0.01611831528135384,0.03224362620648912
550,151525,11123008874,0.015544714682474859,0.03109582371688031
575,165887,13345941086,0.015019254211792444,0.03004435551012265
600,180300,15782161499,0.014515879001196318,0.02903714326504785
625,195937,18656168861,0.014052272559601784,0.028109505338532542
650,211575,21772840374,0.013608037757030907,0.02722067331307723
675,228487,25414194136,0.013196880979839565,0.0263980230422657
700,245350,29327639249,0.012802578765943222,0.02560912896400805
725,263537,33862173161,0.012436000805035376,0.024875701751979663
750,281625,38697901874,0.012084056601160478,0.02417157819449781
775,301087,44261012186,0.011755530572115154,0.023514304345350432
800,320400,50153721999,0.011439722672268279,0.022882495024639477
825,341137,56890367461,0.011143845514566915,0.02229055706079542
850,361675,63983943374,0.010859050594591805,0.02172080604629
875,383687,72048645236,0.01059134046538219,0.02118523200694886
900,405450,80496159749,0.010333320610516951,0.020669056638331625
925,428737,90053001761,0.010090045069369086,0.020182375496951958
950,451725,100016714874,0.009855275543772853,0.01971272118501389
975,476287,111239343286,0.0096333109123345,0.019268680943055724
1000,500500,122890702499,0.009418842899358383,0.018839646159064104
